PIVA_DISTRIBUTORE,COD_PDR,CAUSALE,NOME_FILE_INCOERENTE_EXC,NOME_FILE_LETTURA_CORRISPONDENTE,NOME_FILE_LETTURA_PRECEDENTE,STATO
03479071205,03081000951962,,,03479071205_02221101203_202303_TML_20230308143950_1_M.xml,03479071205_02221101203_202302_TAL_20230228100021_1_M.xml,ONLY_REPORT_1
03479071205,03081000951876,,,03479071205_02221101203_202311_TML_20231204160940_1_M.xml,03479071205_02221101203_202310_TML_20231103153552_1_M.xml,ONLY_REPORT_1
03479071205,03081001477950,,,03479071205_02221101203_202306_TML_20230705171543_1_M.xml,03479071205_02221101203_202306_TAL_20230622100015_1_M.xml,ONLY_REPORT_1
03479071205,03081000427823,,,03479071205_02221101203_202302_TAL_20230226180010_1_M.xml,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,ONLY_REPORT_1
03479071205,07710000013989,,,03479071205_02221101203_202304_TML_20230505102716_1_M.xml,03479071205_02221101203_202304_TAL_20230424100018_1_M.xml,ONLY_REPORT_1
03479071205,03081000427854,,,03479071205_02221101203_202304_TAL_20230429180015_1_M.xml,03479071205_02221101203_202303_TML_20230405100914_1_M.xml,ONLY_REPORT_1
03479071205,03081000427639,,,03479071205_02221101203_202306_TAL_20230621180015_1_M.xml,03479071205_02221101203_202305_TML_20230605104354_1_M.xml,ONLY_REPORT_1
03479071205,03081000952088,,,03479071205_02221101203_202305_TAL_20230529100022_1_M.xml,03479071205_02221101203_202304_TML_20230505093852_1_M.xml,ONLY_REPORT_1
03479071205,07710000014482,,,03479071205_01178580997_202203_TML_20220408094711_1_M.xml,03479071205_01178580997_202202_TAL_20220223190408_1_M.xml,ONLY_REPORT_1
03479071205,03081000428178,,,03479071205_02221101203_202302_TAL_20230226100012_1_M.xml,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,ONLY_REPORT_1
03479071205,03081000953784,,,03479071205_02221101203_202302_TAL_20230301195401_1_M.xml,03479071205_02221101203_202302_TML_20230208134231_1_M.xml,ONLY_REPORT_1
03479071205,03081000428227,,,03479071205_06655971007_202301_TML_20230123085822_1_M.xml,03479071205_06655971007_202212_TML_20230110140859_1_M.xml,ONLY_REPORT_1
03479071205,07710000014438,,,03479071205_06655971007_202204_TML_20220408115858_1_M.xml,03479071205_06655971007_202202_TAL_20220216191303_1_M.xml,ONLY_REPORT_1
03479071205,03081001477965,,,03479071205_02221101203_202302_TAL_20230208180022_1_M.xml,03479071205_02221101203_202302_TML_20230208144050_1_M.xml,ONLY_REPORT_1
03479071205,03081000953774,,,03479071205_02221101203_202304_TAL_20230408180016_1_M.xml,03479071205_02221101203_202303_TML_20230407181057_1_M.xml,ONLY_REPORT_1
03479071205,03081000427582,,,03479071205_02221101203_202304_TML_20230509112747_1_M.xml,03479071205_02221101203_202303_TAL_20230303180017_1_M.xml,ONLY_REPORT_1
03479071205,07710000014122,,,03479071205_01178580997_202101_TML_20210111101320_1_M.xml,03479071205_01178580997_202009_TML.0050_20201008124442_001.xml,ONLY_REPORT_1
03479071205,03081001476755,,,03479071205_02221101203_202311_TAL_20231121100018_1_M.xml,03479071205_02221101203_202310_TML_20231107173421_1_M.xml,ONLY_REPORT_1
03479071205,03081000429423,,,03479071205_02221101203_202302_TAL_20230228100021_1_M.xml,03479071205_02221101203_202302_TML_20230215095846_1_M.xml,ONLY_REPORT_1
03479071205,07710000014423,,,03479071205_01178580997_202007_TML.0050_20200730152251_001.xml,03479071205_01178580997_202001_TML.0050_20200129083405_001.xml,ONLY_REPORT_1
03479071205,03081000953757,,,03479071205_02356770988_202010_TML.0050_20201009083014_001.xml,03479071205_02356770988_202008_TML.0050_20200908184854_001.xml,ONLY_REPORT_1
03479071205,03081000427530,,,03479071205_02259960306_202007_TML.0050_20200810140859_001.xml,03479071205_02259960306_202001_TML.0050_20200129084108_001.xml,ONLY_REPORT_1
03479071205,03081000951824,,,03479071205_02221101203_202303_TML_20230308143950_1_M.xml,03479071205_02221101203_202301_TML_20230104083528_1_M.xml,ONLY_REPORT_1
03479071205,07710000014157,,,03479071205_02221101203_202304_TAL_20230405113530_1_M.xml,03479071205_02221101203_202303_TML_20230405084807_1_M.xml,ONLY_REPORT_1
03479071205,03081000427583,,,03479071205_02221101203_202305_TML_20230605104354_1_M.xml,03479071205_02221101203_202305_TAL_20230529100022_1_M.xml,ONLY_REPORT_1
03479071205,03081000952274,,,03479071205_02221101203_202304_TAL_20230405113446_1_M.xml,03479071205_02221101203_202303_TML_20230405082147_1_M.xml,ONLY_REPORT_1
03479071205,07710000014048,,,03479071205_02221101203_202303_TML_20230405084807_1_M.xml,03479071205_02221101203_202302_TAL_20230212180027_1_M.xml,ONLY_REPORT_1
03479071205,03081000952224,,,03479071205_02221101203_202311_TML_20231204160940_1_M.xml,03479071205_02221101203_202308_TML_20230905121841_1_M.xml,ONLY_REPORT_1
03479071205,07710000013589,T1,03479071205_07670380968_AGG_INCOERENTI_EXC_202109_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427799,,,03479071205_02221101203_202309_TAL_20230927100031_1_M.xml,03479071205_02221101203_202309_TML_20231003101612_1_M.xml,ONLY_REPORT_1
03479071205,07710000014230,,,03479071205_02221101203_202305_TML_20230605085338_1_M.xml,03479071205_02221101203_202305_TAL_20230525100029_1_M.xml,ONLY_REPORT_1
03479071205,03081001478072,,,03479071205_02221101203_202303_TML_20230324100753_1_M.xml,03479071205_02221101203_202302_TML_20230208144050_1_M.xml,ONLY_REPORT_1
03479071205,07710000013585,T1,03479071205_06655971007_AGG_INCOERENTI_EXC_202103_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000952251,,,03479071205_02221101203_202309_TAL_20230927100031_1_M.xml,03479071205_02221101203_202308_TML_20230905121841_1_M.xml,ONLY_REPORT_1
03479071205,03081000429426,,,03479071205_02221101203_202302_TAL_20230217100016_1_M.xml,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,ONLY_REPORT_1
03479071205,07710000014285,,,03479071205_02221101203_202301_TAL_20230126100021_1_M.xml,03479071205_02221101203_202201_RML_20220204184915_1_R.xml,ONLY_REPORT_1
03479071205,07710000014048,,,03479071205_02221101203_202310_TML_20231109152520_1_M.xml,03479071205_02221101203_202310_TAL_20231003120438_1_M.xml,ONLY_REPORT_1
03479071205,07710000013981,,,03479071205_02221101203_202311_TAL_20231111100028_1_M.xml,03479071205_02221101203_202310_TML_20231103141802_1_M.xml,ONLY_REPORT_1
03479071205,03081000429350,,,03479071205_02221101203_202303_TAL_20230314180019_1_M.xml,03479071205_02221101203_202302_TML_20230215095846_1_M.xml,ONLY_REPORT_1
03479071205,03081000427835,,,03479071205_02221101203_202309_TAL_20230911100026_1_M.xml,03479071205_02221101203_202308_TML_20230905120640_1_M.xml,ONLY_REPORT_1
03479071205,03081000429451,,,03479071205_02221101203_202302_TAL_20230207100022_1_M.xml,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,ONLY_REPORT_1
03479071205,03081000951864,,,03479071205_02221101203_202302_TML_20230208134231_1_M.xml,03479071205_02221101203_202301_TAL_20230124180022_1_M.xml,ONLY_REPORT_1
03479071205,03081000428013,,,03479071205_02221101203_202302_TAL_20230219100020_1_M.xml,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,ONLY_REPORT_1
03479071205,07710000014436,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202003_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000013650,,,03479071205_01016870329_202010_TML.0050_20201009081717_001.xml,03479071205_01016870329_202006_TML.0050_20200708141752_001.xml,ONLY_REPORT_1
03479071205,03081000428284,T1,03479071205_CHE116343713IVA_AGG_INCOERENTI_EXC_202007_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081001478107,,,03479071205_02221101203_202308_TAL_20230804114432_1_M.xml,03479071205_02221101203_202308_RML_20230904165516_1_R.xml,ONLY_REPORT_1
03479071205,03081000953691,,,03479071205_02968430237_202202_TML_20220209083416_1_M.xml,03479071205_02968430237_202112_TML_20220111105650_1_M.xml,ONLY_REPORT_1
03479071205,07710000014427,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202002_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000013585,T1,03479071205_06655971007_AGG_INCOERENTI_EXC_202110_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000953849,,,03479071205_02221101203_202304_TAL_20230407100016_1_M.xml,03479071205_02221101203_202303_TML_20230405102208_1_M.xml,ONLY_REPORT_1
03479071205,03081000952251,,,03479071205_02221101203_202305_TML_20230605104354_1_M.xml,03479071205_02221101203_202305_TAL_20230503100017_1_M.xml,ONLY_REPORT_1
03479071205,07710000014080,,,03479071205_02221101203_202309_TAL_20230927100031_1_M.xml,03479071205_02221101203_202308_TML_20230905102931_1_M.xml,ONLY_REPORT_1
03479071205,07710000014001,,,03479071205_02221101203_202306_TAL_20230621100035_1_M.xml,03479071205_02221101203_202305_TML_20230607155735_1_M.xml,ONLY_REPORT_1
03479071205,07710000014439,,,03479071205_06655971007_202201_TML_20220110084652_1_M.xml,03479071205_01178580997_202001_TML.0050_20200129083405_001.xml,ONLY_REPORT_1
03479071205,03081000429426,,,03479071205_02221101203_202303_TML_20230308142900_1_M.xml,03479071205_02221101203_202302_TAL_20230217100016_1_M.xml,ONLY_REPORT_1
03479071205,03081000428161,,,03479071205_02221101203_202301_TAL_20230202100032_1_M.xml,03479071205_02221101203_202301_TML_20230109093058_1_M.xml,ONLY_REPORT_1
03479071205,03081000951891,,,03479071205_02221101203_202301_TAL_20230201100026_1_M.xml,03479071205_02221101203_202301_TML_20230109093321_1_M.xml,ONLY_REPORT_1
03479071205,07710000014124,,,03479071205_01178580997_202311_TML_20231204133112_1_M.xml,03479071205_01178580997_202310_TML_20231109152413_1_M.xml,ONLY_REPORT_1
03479071205,07710000013992,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202006_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000951975,,,03479071205_02221101203_202306_TML_20230707135233_1_M.xml,03479071205_02221101203_202305_TAL_20230529180021_1_M.xml,ONLY_REPORT_1
03479071205,03081000427679,,,03479071205_02356770988_202112_SWG1_20211207114203_1_M.xml,03479071205_03672520404_202110_TML_20211013081005_1_M.xml,ONLY_REPORT_1
03479071205,03081001477940,,,03479071205_07670380968_202105_TGL_20210603182721_1_M.xml,03479071205_07670380968_202011_TGL.0050_20201203164942_001.XML,ONLY_REPORT_1
03479071205,03081000427563,,,03479071205_02221101203_202309_TML_20231003101612_1_M.xml,03479071205_02221101203_202309_TAL_20230928100035_1_M.xml,ONLY_REPORT_1
03479071205,07710000013972,,,03479071205_02221101203_202302_TAL_20230225180029_1_M.xml,03479071205_02221101203_202302_TML_20230208142530_1_M.xml,ONLY_REPORT_1
03479071205,03081001478081,,,03479071205_02221101203_202303_TML_20230308132352_1_M.xml,03479071205_02221101203_202301_TML_20230123081613_1_M.xml,ONLY_REPORT_1
03479071205,03081000427925,,,03479071205_02221101203_202303_TML_20230407181057_1_M.xml,03479071205_02221101203_202303_TAL_20230309100025_1_M.xml,ONLY_REPORT_1
03479071205,03081000427911,,,03479071205_02221101203_202303_TML_20230405100914_1_M.xml,03479071205_02221101203_202303_TAL_20230329180028_1_M.xml,ONLY_REPORT_1
03479071205,03081000429323,,,03479071205_02221101203_202304_TAL_20230410100013_1_M.xml,03479071205_02221101203_202303_TML_20230405100914_1_M.xml,ONLY_REPORT_1
03479071205,07710000013860,,,03479071205_01141160992_202206_TML_20220629075006_1_M.xml,03479071205_01141160992_202203_TML_20220329075458_1_M.xml,ONLY_REPORT_1
03479071205,03081000953852,,,03479071205_02221101203_202311_TML_20231204160940_1_M.xml,03479071205_02221101203_202310_TML_20231107173421_1_M.xml,ONLY_REPORT_1
03479071205,07710000014328,,,03479071205_01178580997_202009_TML.0050_20201008124442_001.xml,03479071205_01178580997_202003_TML.0050_20200408160703_001.xml,ONLY_REPORT_1
03479071205,07710000013585,T1,03479071205_06655971007_AGG_INCOERENTI_EXC_202111_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081001478106,,,03479071205_06170180019_202208_TML_20220826084758_1_M.xml,03479071205_06170180019_202205_TML_20220509121021_1_M.xml,ONLY_REPORT_1
03479071205,03081000427800,,,03479071205_02221101203_202305_TAL_20230531100030_1_M.xml,03479071205_02221101203_202305_TML_20230605104354_1_M.xml,ONLY_REPORT_1
03479071205,07710000013612,,,03479071205_02221101203_202311_TAL_20231121100018_1_M.xml,03479071205_02221101203_202310_TML_20231107174701_1_M.xml,ONLY_REPORT_1
03479071205,07710000014256,,,03479071205_02221101203_202309_TML_20231003100014_1_M.xml,03479071205_02221101203_202307_TML_20230807151455_1_M.xml,ONLY_REPORT_1
03479071205,07710000014240,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202005_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427928,T1,03479071205_06655971007_AGG_INCOERENTI_EXC_202106_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081001478097,,,03479071205_02221101203_202303_TAL_20230307100028_1_M.xml,03479071205_02221101203_202303_TML_20230308132352_1_M.xml,ONLY_REPORT_1
03479071205,03081000953743,,,03479071205_02221101203_202309_TML_20231003103234_1_M.xml,03479071205_02221101203_202309_TAL_20230928100035_1_M.xml,ONLY_REPORT_1
03479071205,03081001478139,,,03479071205_02221101203_202307_TML_20230804123948_1_M.xml,03479071205_02221101203_202306_TML_20230707134243_1_M.xml,ONLY_REPORT_1
03479071205,03081000429545,,,03479071205_02221101203_202310_TML_20231108135459_1_M.xml,03479071205_02221101203_202309_TAL_20230927100031_1_M.xml,ONLY_REPORT_1
03479071205,03081001476746,,,03479071205_02221101203_202302_TAL_20230221100029_1_M.xml,03479071205_02221101203_202302_TML_20230208144050_1_M.xml,ONLY_REPORT_1
03479071205,03081000952304,,,03479071205_02221101203_202305_TML_20230609081547_1_M.xml,03479071205_02221101203_202303_TAL_20230401180020_1_M.xml,ONLY_REPORT_1
03479071205,03081000951930,,,03479071205_02221101203_202303_TML_20230308143950_1_M.xml,03479071205_02221101203_202302_TAL_20230204113344_1_M.xml,ONLY_REPORT_1
03479071205,03081000952015,,,03479071205_02221101203_202305_TML_20230605104354_1_M.xml,03479071205_02221101203_202305_TAL_20230524100029_1_M.xml,ONLY_REPORT_1
03479071205,03081000952487,,,03479071205_01178580997_202303_TML_20230405081347_1_M.xml,03479071205_01178580997_202301_TAL_20230130191751_1_M.xml,ONLY_REPORT_1
03479071205,07710000013615,,,03479071205_01178580997_202005_TAL.0150_20200507100008_0001.xml,03479071205_01178580997_202001_TML.0050_20200129083405_001.xml,ONLY_REPORT_1
03479071205,07710000014511,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202004_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427577,,,03479071205_02221101203_202305_TAL_20230529100022_1_M.xml,03479071205_02221101203_202304_TML_20230505122148_1_M.xml,ONLY_REPORT_1
03479071205,03081000427719,,,03479071205_02221101203_202304_TML_20230505122148_1_M.xml,03479071205_02221101203_202304_TAL_20230405113517_1_M.xml,ONLY_REPORT_1
03479071205,03081000428284,T1,03479071205_CHE116343713IVA_AGG_INCOERENTI_EXC_202012_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427685,,,03479071205_02221101203_202311_TML_20231204160940_1_M.xml,03479071205_02221101203_202311_TAL_20231129100036_1_M.xml,ONLY_REPORT_1
03479071205,07710000014410,,,03479071205_01178580997_202301_TML_20230116080621_1_M.xml,03479071205_02221101203_202012_TAL.0150_20201210100006_0001.xml,ONLY_REPORT_1
03479071205,07710000014386,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202002_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427654,,,03479071205_02221101203_202302_TAL_20230228180018_1_M.xml,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,ONLY_REPORT_1
03479071205,03081000953797,,,03479071205_02221101203_202309_TML_20231006171325_1_M.xml,03479071205_02221101203_202309_TAL_20230925100021_1_M.xml,ONLY_REPORT_1
03479071205,03081000952237,,,03479071205_02221101203_202309_TML_20231003103234_1_M.xml,03479071205_02221101203_202309_TAL_20230914180022_1_M.xml,ONLY_REPORT_1
03479071205,07710000013862,,,03479071205_01178580997_202009_TML.0050_20201008124442_001.xml,03479071205_01178580997_202003_TML.0050_20200327081742_001.xml,ONLY_REPORT_1
03479071205,07710000014285,,,03479071205_02221101203_202311_TAL_20231111100028_1_M.xml,03479071205_02221101203_202310_TML_20231103141802_1_M.xml,ONLY_REPORT_1
03479071205,07710000013852,,,03479071205_02221101203_202303_TAL_20230305100020_1_M.xml,03479071205_02221101203_202301_TML_20230208120142_1_M.xml,ONLY_REPORT_1
03479071205,07710000014448,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202005_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000429367,,,03479071205_02221101203_202310_TML_20231103152206_1_M.xml,03479071205_02221101203_202308_TML_20230908144823_1_M.xml,ONLY_REPORT_1
03479071205,03081000427852,,,03479071205_02221101203_202304_TAL_20230429180015_1_M.xml,03479071205_02221101203_202303_TML_20230405100914_1_M.xml,ONLY_REPORT_1
03479071205,07710000014386,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202008_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427761,,,03479071205_06655971007_202304_TAL_20230502195608_1_M.xml,03479071205_06655971007_202304_TML_20230505130309_1_M.xml,ONLY_REPORT_1
03479071205,07710000014495,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202005_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000952528,,,03479071205_02221101203_202304_TML_20230505093852_1_M.xml,03479071205_02221101203_202304_TAL_20230405113320_1_M.xml,ONLY_REPORT_1
03479071205,03081000953388,,,03479071205_02221101203_202311_TAL_20231115100028_1_M.xml,03479071205_02221101203_202310_TML_20231103153552_1_M.xml,ONLY_REPORT_1
03479071205,03081000427636,,,03479071205_02221101203_202305_TML_20230605104354_1_M.xml,03479071205_02221101203_202305_TAL_20230530100027_1_M.xml,ONLY_REPORT_1
03479071205,03081000953670,,,03479071205_02221101203_202301_TML_20230109093321_1_M.xml,03479071205_02221101203_202012_TML.0050_20201231085010_001.xml,ONLY_REPORT_1
03479071205,03081000427849,,,03479071205_02221101203_202306_TML_20230705183051_1_M.xml,03479071205_02221101203_202306_TAL_20230622180026_1_M.xml,ONLY_REPORT_1
03479071205,03081000952274,,,03479071205_02221101203_202301_TAL_20230202100032_1_M.xml,03479071205_02221101203_202301_TML_20230116080654_1_M.xml,ONLY_REPORT_1
03479071205,03081000427617,,,03479071205_02221101203_202307_TML_20230808160937_1_M.xml,03479071205_02221101203_202306_TAL_20230610100026_1_M.xml,ONLY_REPORT_1
03479071205,03081000427761,,,03479071205_06655971007_202307_TML_20230808161753_1_M.xml,03479071205_06655971007_202304_TAL_20230502195608_1_M.xml,ONLY_REPORT_1
03479071205,07710000014401,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202001_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000953728,,,03479071205_02221101203_202301_TAL_20230130100032_1_M.xml,03479071205_02221101203_202301_TML_20230109093321_1_M.xml,ONLY_REPORT_1
03479071205,03081000427892,,,03479071205_02221101203_202301_TAL_20230127100029_1_M.xml,03479071205_02221101203_202301_TML_20230104083329_1_M.xml,ONLY_REPORT_1
03479071205,03081000427800,,,03479071205_02221101203_202308_RML_20230904090722_1_R.xml,03479071205_02221101203_202307_TAL_20230706113619_1_M.xml,ONLY_REPORT_1
03479071205,03081000953731,,,03479071205_02221101203_202302_TAL_20230227180019_1_M.xml,03479071205_02221101203_202302_TML_20230220080000_1_M.xml,ONLY_REPORT_1
03479071205,07710000014544,,,03479071205_02221101203_202007_TAL.0150_20200730100005_0001.xml,03479071205_02221101203_202003_TAL.0150_20200329100004_0001.xml,ONLY_REPORT_1
03479071205,03081001477950,,,03479071205_02221101203_202302_TAL_20230220100027_1_M.xml,03479071205_02221101203_202302_TML_20230208144050_1_M.xml,ONLY_REPORT_1
03479071205,07710000013611,,,03479071205_01178580997_202310_TML_20231103134502_1_M.xml,03479071205_01178580997_202310_TML_20231109152413_1_M.xml,ONLY_REPORT_1
03479071205,07710000014404,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202003_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000014307,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202005_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000014213,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202009_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000013950,,,03479071205_02221101203_202306_TML_20230705170543_1_M.xml,03479071205_02221101203_202306_TAL_20230621100035_1_M.xml,ONLY_REPORT_1
03479071205,03081000429332,,,03479071205_07670380968_202109_TAL_20210930162057_1_M.xml,03479071205_07670380968_202108_TML_20210830081159_1_M.xml,ONLY_REPORT_1
03479071205,03081000427925,,,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,03479071205_02221101203_202301_TAL_20230113100026_1_M.xml,ONLY_REPORT_1
03479071205,03081000953771,,,03479071205_02221101203_202306_TML_20230607171723_1_M.xml,03479071205_02221101203_202305_TAL_20230530180022_1_M.xml,ONLY_REPORT_1
03479071205,07710000014423,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202003_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000014523,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202002_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081001476854,,,03479071205_02221101203_202305_TML_20230605090850_1_M.xml,03479071205_02221101203_202304_TAL_20230420100022_1_M.xml,ONLY_REPORT_1
03479071205,03081000952275,,,03479071205_02221101203_202302_TAL_20230224100025_1_M.xml,03479071205_02221101203_202302_TML_20230208134231_1_M.xml,ONLY_REPORT_1
03479071205,07710000013649,,,03479071205_01178580997_202004_TML.0050_20200407083128_001.xml,03479071205_01178580997_202001_TML.0050_20200129083405_001.xml,ONLY_REPORT_1
03479071205,07710000014591,,,03479071205_01178580997_202007_TML.0050_20200707085956_001.xml,03479071205_01178580997_202004_TAL.0150_20200427100006_0001.xml,ONLY_REPORT_1
03479071205,07710000014495,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202006_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081001476755,,,03479071205_02221101203_202310_TML_20231107173421_1_M.xml,03479071205_02221101203_202309_TAL_20230921180028_1_M.xml,ONLY_REPORT_1
03479071205,03081000953820,,,03479071205_02221101203_202304_TAL_20230426100023_1_M.xml,03479071205_02221101203_202303_TML_20230320084043_1_M.xml,ONLY_REPORT_1
